Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
1/8/2012,1500-1505,01/08/12,2012,1,12003845,3D,1600 B/O 17th St NW ,Sexual Orientation,,Threats
1/12/2012,1722,01/12/12,2012,1,12005834,1D,3rd St SW & K St SW,Sexual Orientation,,Robbery
1/13/2012,1255-1258,01/13/12,2012,1,12006285,4D,Park Rd NW & Sherman Ave NW,Race,Unspecified,Simple Assault
1/14/2012,0240-0250,01/14/12,2012,1,12006716,3D,1800 B/O 14th St NW,Sexual Orientation,,Simple Assault
1/14/2012,0431-0433,01/14/12,2012,1,12006742,3D,18th St NW & Florida Ave NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
1/22/2012,0145,01/22/12,2012,1,12010626,7D,1300 B/O Alabama Ave SE,Sexual Orientation,,ADW
1/22/2012,1930,01/22/12,2012,1,12010912,1D,600 B/O H St NW,Race,Asian,Threats
2/6/2012,1900,02/06/12,2012,2,12018396,3D,1300 B/O Park Rd NW,Sexual Orientation,,Simple Assault
2/8/2012,1200-1230,02/09/12,2012,2,12019568,1D,400 B/O 3rd St SE,Race,Black,Threats
2/14/2012,0900-0915,02/14/12,2012,2,12021883,1D,1400 B/O Independence Ave SW,Ethnicity/National Origin,Unspecified,Simple Assault
2/21/2012,1010,02/21/12,2012,2,12025144,2D,1500 B/O M St NW,Ethnicity/National Origin,Asian,Threats
2/23/2012,0150-0153,02/23/12,2012,2,12026003,4D,700 B/O Upshur St NW,Sexual Orientation,,Robbery
3/11/2012,0636-0700,03/11/12,2012,3,12034069,3D,3100 B/O 14th St NW,Sexual Orientation,,ADW
3/12/2012,2135-2140,03/12/12,2012,3,12034811,3D,Irving St NW & Georgia Ave NW,Sexual Orientation,,Robbery
3/16/2012,2315,03/17/12,2012,3,12036881,6D,4000 B/O Minnesota Ave NE,Sexual Orientation,,Robbery
3/17/2012,2100-2115,03/19/12,2012,3,12038136,7D,3400 B/O 22nd St SE,Gender Identity/Expression,,Damage/Defacing/Destruction of Property
3/8/2012,1655-1730,03/20/12,2012,3,12038547,1D,1000 B/O Independence Ave SW,Sexual Orientation,,Threats
3/25/2012,0257-0258,03/25/12,2012,3,12040991,3D,2000 B/O 9th St NW,Sexual Orientation,,Simple Assault
3/27/2012,1400-1435,03/27/12,2012,3,12042017,7D,3000 B/O 9th St SE,Sexual Orientation,,Simple Assault
3/29/2012,0150,03/29/12,2012,3,12042817,2D,2800 B/O Pennsylvania Ave NW,Ethnicity/National Origin,Arab/Middle Eastern,Simple Assault
4/4/2012,1300,04/04/12,2012,4,12045820,6D,E St SE & Chaplin St SE,Sexual Orientation,,Simple Assault
8/23/2012,1200-1800,04/04/12,2012,4,12046039,6D,4200 B/O Gault Pl NE,Sexual Orientation,,Threats
4/13/2012,1833-1845,04/13/12,2012,4,12050382,7D,1900 B/O Mississippi Ave SE,Sexual Orientation,,Simple Assault
4/17/2012,0550-0559,04/17/12,2012,4,12052005,5D,3100 B/O Central Ave NE,Sexual Orientation,,Robbery
4/17/2012,2140,04/17/12,2012,4,12052410,4D,1500 B/O Ogden St NW,Gender Identity/Expression,,Threats
4/6/2012,0832-1241,04/18/12,2012,4,12052642,2D,1300 B/O Pennsylvania Ave NW,Race,Black,Threats
4/29/2012,0230,04/29/12,2012,4,12058115,2D,22nd St NW & P St NW,Race,Unspecified,Damage/Defacing/Destruction of Property
4/4/2012,0200,05/02/12,2012,5,12059617,3D,1800 B/O 14th St NW,Race,Black,Simple Assault
5/3/2012,2149-2248,05/04/12,2012,5,12060407,5D,1400 B/O Blk of V St NW,Sexual Orientation,,Threats
5/8/2012,0830,05/08/12,2012,5,12062696,4D,700 B/O Princeton Pl NW,Race,Black,Damage/Defacing/Destruction of Property
5/16/2012,0130,05/16/12,2012,5,12066780,1D,7th St NE & H St NE,Gender Identity/Expression,,Simple Assault
5/20/2012,1000,05/20/12,2012,5,12069176,2D,18th St NW & M St NW,Sexual Orientation,,Simple Assault
6/1/2012,0230,06/01/12,2012,6,12075322,3D,2000 B/O 9th St NW,Race,Unspecified,Simple Assault
6/5/2012,0312-0345,06/05/12,2012,6,12077382,1D,200 B/O K St NW,Race,Unspecified,Simple Assault
6/8/2012,0121-0130,06/08/12,2012,6,12079020,3D,900 B/O Q St NW,Sexual Orientation,,ADW
6/8/2012,0220-0223,06/08/12,2012,6,12079041,3D,1600 B/O R St NW,Sexual Orientation,,Simple Assault
6/13/2012,1937-1938,06/13/12,2012,6,12082150,1D,4th St NW & Pennsylvania Ave NW,Race,Unspecified,Threats
6/22/2012,0430,06/22/12,2012,6,12086552,4D,Irving St NW & Mount Pleasant St NW,Sexual Orientation,,Robbery
6/23/2012,2220-2225,06/23/12,2012,6,12087498,3D,1400 B/O 14th St NW,Sexual Orientation,,Simple Assault
6/26/2012,2040-2100,06/27/12,2012,6,12089021,1D,600 B/O T St NW,Sexual Orientation,,ADW
6/27/2012,1843-1845,06/27/12,2012,6,12089479,3D,2800 B/O Georgia Ave NW,Gender Identity/Expression,,ADW
6/29/2012,1430,06/29/12,2012,6,12090516,7D,2600 B/O Martin Luther King Jr Ave SE,Sexual Orientation,,Simple Assault
7/1/2012,0300-0330,07/01/12,2012,7,12091566,3D,600 B/O Florida Ave NW,Sexual Orientation,,Simple Assault
